"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Kansas St.",67.9104,183,67.0934,197,103.643,235,109.524,122,102.402,82,97.2268,36,12.2972,65
"2025","Kennesaw St.",70.6111,50,70.3831,44,103.821,230,107.183,174,103.88,111,104.158,115,3.02457,132
"2025","Kent St.",67.7413,192,66.5993,220,107.18,155,106.51,186,100.168,42,101.797,83,4.71272,109
"2025","Kentucky",72.608,11,70.9653,26,116.691,17,123.731,11,105.964,170,98.7741,46,24.9566,15
"2025","La Salle",69.6583,88,68.6884,106,101.544,282,103.74,229,108.123,230,108.823,212,-5.08319,227
"2025","Lafayette",65.925,293,66.2427,241,101.882,277,98.2011,323,104.351,131,108.906,215,-10.7052,291
"2025","Lamar",65.8074,299,65.4479,286,102.261,270,102.437,250,101.18,64,102.133,86,0.303273,158
"2025","Le Moyne",68.4171,159,68.6674,107,102.149,272,101.333,275,116.039,347,122.007,361,-20.6742,354
"2025","Lehigh",66.8114,244,67.3711,181,101.928,276,100.827,286,107.542,210,110.989,258,-10.1622,283
"2025","Liberty",66.4668,263,65.5179,285,110.434,86,111.882,90,97.5889,17,99.4352,54,12.4466,64
"2025","Lindenwood",69.8568,82,69.723,59,96.0029,344,94.3291,354,104.49,137,109,218,-14.6713,327
"2025","Lipscomb",67.3473,211,66.0725,253,114.412,35,112.089,88,101.254,65,103.56,100,8.52893,90
"2025","Little Rock",67.8974,184,67.052,202,100.288,309,99.3313,305,98.571,23,104.288,119,-4.95627,226
"2025","LIU",65.0555,326,64.92,309,98.99,317,95.0437,351,99.6538,33,105.44,141,-10.3964,284
"2025","Long Beach St.",65.6743,303,64.1546,334,98.9555,318,101.748,269,113.904,338,114.308,316,-12.5595,308
"2025","Longwood",70.2866,60,69.104,82,108.989,116,106.177,197,108.277,232,110.074,242,-3.89774,210
"2025","Louisiana",66.3868,267,66.2935,236,97.0194,336,98.146,325,109.714,270,111.28,262,-13.1338,313
"2025","Louisiana Monroe",67.969,181,67.7979,150,96.4496,341,96.4127,341,112.417,324,114.467,318,-18.0544,344
